ลำดับ,เลขทะเบียนโรงงาน,ชื่อโรงงาน,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงาน,แรงม้า
1219,3-105-44/61รย,บริษัท ไฮเทค พลาส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที 90267,,,วัดโขดหิน-เขาไผ่,ทับมา,เมืองระยอง,ระยอง,21000.0,0 3869 4371,20000000,25,195.0
1220,3-105-45/47รย,บริษัท ส.เรืองแสงรีไซเคิล จำกัด,คัดแยกของเสียหรือวัสดุที่ไม่ใช้แล้วที่ไม่อันตรายของหมวดที่ 1 ภาคผนวกที่ 1 ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) นำไปใช้ประโยชน์ใหม่ทางด้านอุตสาหกรรมและการเกษตรและน้ำสี น้ำมันเครื่อง ฯลฯ กลับมาใช้ประโยชน์ใหม่,เลขที่ 182,1,-,-,ตาสิทธิ์,ปลวกแดง,ระยอง,21140.0,02-3871397,12300000,5,34.0
1221,3-105-45/61รย,บริษัท ไฮเทค พลาส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 35/9,,,วัดโขดหิน-เขาไผ่,ทับมา,เมืองระยอง,ระยอง,21000.0,0 3869 4371,20000000,25,245.0
1222,3-105-46/58รย,บริษัท พลัส พรอสเพอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย แปรสภาพพลาสติกเป็นเม็ดหรือรูปทรงต่างๆ,เลขที่ 88,7,,,มะขามคู่,นิคมพัฒนา,ระยอง,10290.0,0 2408 5353 ,31600000,18,91.84
1223,3-105-5/57รย,บริษัท ทรัพย์คงสมบูรณ์ รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 42,6,,,หนองบัว,บ้านค่าย,ระยอง,21120.0,383019897,12600000,10,48.0
1224,3-105-5/59รย,บริษัท วงศธร รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติก ทำพลาสติกเป็นเม็ดแท่ง ท่อ หลอด แผ่น ชิ้น ผง หรือรูปทรงต่าง ๆ ,เลขที่ 252,6,,,มะขามคู่,นิคมพัฒนา,ระยอง,21000.0,089-8311560,111000000,63,1840.0
1225,3-105-50/54รย,บริษัท วี.เอส.เอ. เอ็นจิเนียริ่ง จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อย ทำเม็ดพลาสติกเกรดบี และอัดเศษเหล็ก,เลขที่ -,2,-,-,มาบข่า,นิคมพัฒนา,ระยอง,21180.0,,11500000,18,98.0
1226,3-105-53/48รย,บริษัท ศักดิ์ทวี รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว ตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) ตามบัญชีสิ่งปฏิกูลฯ ท้ายกฎกระทรวงฯ หมวด 1 ข้อ 1,เลขที่ 119/10,7,-,-,ทับมา,เมืองระยอง,ระยอง,21000.0,038-694348,11000000,30,97.0
1227,3-105-53/59รย,บริษัท พีที ลัคกี้รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 382,1,,,มะขามคู่,นิคมพัฒนา,ระยอง,21180.0,,13000000,18,80.0
1228,3-105-54/48รย,บริษัท วีเอสแอนด์บี รีไซเคิลเน็ทเวิร์ค จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษโลหะ,เลขที่ 9/9-10,6,-,-,หนองละลอก,บ้านค่าย,ระยอง,21120.0,0 3864 2532-4,30500000,13,164.0
1229,3-105-55/61รย,บริษัท วี.เอส.เอ. เอ็นจิเนียริ่ง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 44252,7,,,นิคมพัฒนา,นิคมพัฒนา,ระยอง,21180.0,,75800000,25,245.0
1230,3-105-57/54รย,บริษัท กาญจนรัตน์ เทรดดิ้ง จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 899,1,-,-,ตาสิทธิ์,ปลวกแดง,ระยอง,21140.0,,16500000,13,49.0
1231,3-105-58/47รย,บริษัท ชื่นกอบชัย ลัคกี้ ออยล์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1,เลขที่ 41,1,7,ทางหลวงสาย 36,มะขามคู่,นิคมพัฒนา,ระยอง,21180.0,,8000000,20,1420.0
1232,3-105-59/59รย,บริษัท 3P รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ น.ส.3ก.เลขที่ 66,5,,,สำนักท้อน,บ้านฉาง,ระยอง,21130.0,,13000000,18,80.0
1233,3-105-6/61รย,พัฒนะรีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 71951,4,,,มาบข่า,นิคมพัฒนา,ระยอง,21180.0,,4500000,8,92.5
1234,3-105-61/59รย,บริษัท ภูสินธารา จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 9,6,,,แม่น้ำคู้,ปลวกแดง,ระยอง,21120.0,,10700000,7,80.0
1235,3-105-62/54รย,ห้างหุ้นส่วนจำกัด บุญทวีพจน์ เซอร์วิส,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ได้แก่ โลหะ กระดาษ พลาสติก,เลขที่ -,3,-,-,มาบยางพร,ปลวกแดง,ระยอง,21140.0,038 891859,3500000,10,28.5
1236,3-105-7/57รย,ห้างหุ้นส่วนจำกัด ณรัฐ รีไซเคิล,คัดแยกสิ่งปฏิกูลและวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ได้แก่ เศษโลหะ เศษพลาสติก เศษกระดาษ และเศษไม้,เลขที่ 121/4,5,-,-,นิคมพัฒนา,นิคมพัฒนา,ระยอง,21180.0,,5300000,8,514.0
1237,3-105-72/47รย,ห้างหุ้นส่วนจำกัด ทองขาวฟอร์คลิฟท์,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ภาคผนวกที่ 1 บัญชัสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 และบดย่อยเศษพลาสติก,เลขที่ 113/1,4,-,-,มาบยางพร,ปลวกแดง,ระยอง,21140.0,-,2110000,20,49.0
1238,3-105-79/60รย,บริษัท ก่อกิจ 99 จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 55,9,,,ห้วยยาง,แกลง,ระยอง,21110.0,,2050000,5,20.0
1239,3-105-8/47รย,บริษัท รวมเศษ จำกัด (สาขามาบข่า),คัดแยกเศษวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรม,เลขที่ 21/6,0,-,ทางหลวงสาย 36,มาบข่า,นิคมพัฒนา,ระยอง,21180.0,038 968985-6,140000000,14,38.0
1240,3-105-8/57รย,บริษัท เพียรทำดี รีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 63/3,,-,ราษฎร์บำรุง,ห้วยโป่ง,เมืองระยอง,ระยอง,21000.0,890723549,3200000,13,514.0
1241,3-105-81/47รย,บริษัท รับเบอร์ เวิลด์กรีน จำกัด,คัดแยกวัสสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้ท้ายประกาศกระทรวง ฉบับที่ 1 (พ.ศ. 2541) บด ย่อย หลอม ทำพลาสติกเป็นเม็ดจากพลาสติกใช้แล้ว,เลขที่ 350/7,5,4,ทางหลวงสาย 36,นิคมพัฒนา,นิคมพัฒนา,ระยอง,21180.0,-,7000000,13,284.34
1242,3-105-87/59รย,วีณา รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 80/21,2,5,,พลา,บ้านฉาง,ระยอง,21130.0,081-6648935,8000000,9,320.0
1243,3-105-89/48รย,บริษัท เนินกระปรอกดีเวลลอปเมนท์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) และยดย่อยเศษพลาสติก,เลขที่ 83/1,1, -, -,บ้านฉาง,บ้านฉาง,ระยอง,21130.0,,1550000,13,49.0
1244,3-105-90/59รย,บริษัท เอส บี เอส แอนด์ รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 13865 และ 18226,,,,บ้านฉาง,บ้านฉาง,ระยอง,21130.0,095-4162829,6000000,8,345.0
1245,3-105-94/48รย,ห้างหุ้นส่วนจำกัด เจนเนอรัล โปรไวเดอร์,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก และอัดเศษโลหะ,เลขที่ ,7, -,บ้านหนองตะแบก,ตาขัน,บ้านค่าย,ระยอง,21120.0,,1000000,10,45.0
1246,3-105-96/48รย,บริษัท สุธี แท็งเกอร์ แอนด์ สเปเชียลทรัค จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะ ภาคผนวก 1 ข้อ 1 ตามบัญชีท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1(พ.ศ.2541) บดย่อยพลาสติก และรีไซเคิลน้ำมันหล่อลื่นใช้แล้ว,เลขที่ ,,ราษฎร์บำรุง 1,ราษฎร์บำรุง,ห้วยโป่ง,เมืองระยอง,ระยอง,21000.0,,7250000,10,114.0
1247,3-105-96/59รย,บริษัท ศุทราแลนด์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ โฉนดที่ดินเลขที่ 9102,7,,,กองดิน,แกลง,ระยอง,21110.0,,10500000,4,15.0
1248,3-106-1/46รย,บริษัท เวสท์ โอเว่น เซอร์วิส จำกัด,นำกากตะกอนจากกระบวนการบำบัดน้ำเสียไปทำผลิตภัณฑ์ใหม่ ได้แก่ อิฐบล็อค สารปรับปรุงดิน เป็นต้น,เลขที่ 105,2,     -,     -,มาบข่า,นิคมพัฒนา,ระยอง,21180.0,     -,14000000,19,86.0
1249,3-106-10/54รย,บริษัท ระยองมาบยางพรกรุ๊ป จำกัด,ทำเชื้อเพลิงทดแทน ทำเชื้อเพลิงผสม บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย ทำน้ำมันทาแบบ สีกันสนิม สกัดโลหะมีค่าจากน้ำยาล้างฟิล์มและน้ำยาชุบโลหะที่มีองค์ประกอบของโลหะมีค่า ทำอิฐบล็อก อิฐตัวหนอนจากสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 35,3,-,-,มาบยางพร,ปลวกแดง,ระยอง,21140.0,081 5903 448,2600000,26,280.0
1250,3-106-11/52รย,บริษัท ฟาลังซ์ จำกัด,นำวัสดุที่ไม่ใช้แล้วจากการเผาไหม้ถ่านหินไปทำอิฐมวลเบา ผลิตภัณฑ์มวลผสม สารเพิ่มคุณสมบัติคอนกรีต (ปอซโซลาน),เลขที่ 22/1,-,-,-,ห้วยโป่ง,เมืองระยอง,ระยอง,21000.0,,4000000,9,286.5
1251,3-106-11/56รย,บริษัท กรีนเวสท์โกลเวอร์ไลท์ แมนเนจเม้นท์ จำกัด,ซ่อมและล้างถังบรรจุภัณฑ์ด้วยตัวทำละลาย นำสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วทั้งในสภาพของแข็งและของเหลวมาผลิตเชื้อเพลิงผสม (Blending) นำน้ำมันใช้แล้วและตัวทำละลายใช้แล้วมาผลิตเชื้อเพลิงทดแทน,เลขที่ 167,6,-,-,นิคมพัฒนา,นิคมพัฒนา,ระยอง,21180.0,,1800000,20,90.0
1252,3-106-12/59รย,บริษัท ซี เวสท์ โซลูชั่น จำกัด,นำกากตะกอนจากระบบบำบัดน้ำเสียที่มีองค์ประกอบของโลหะมีค่าจากอุตสาหกรรมชุบโลหะและอิเล็กทรอนิกส์มาผ่านกระบวนการรีไซเคิล (อบแห้ง) ,เลขที่ 89,5,,,มะขามคู่,นิคมพัฒนา,ระยอง,21000.0,,3000000,3,250.0
1253,3-106-12/61รย,บริษัท รุ่งเจริญ เอ็นไวรอนเมนทอล เซอร์วิส จำกัด,"ผลิตเชื้อเพลิงแข็งจากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย (Solid Recovery Fuel, SRF)",เลขที่ 82/8,5,,,ทับมา,เมืองระยอง,ระยอง,21000.0,,37000000,6,491.0
1254,3-106-17/54รย,บริษัท หัวไท่ อินดัสทรี จำกัด,นำตะกรันจากเตาหลอมเหล็กที่ไม่เป็นของเสียอันตรายมาผ่านกรรมวิธีบดย่อยเพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบในการทำถนน,เลขที่ โฉนดที่ดินเลขที่ 6584,6,-,ทางหลวงสาย 3191,แม่น้ำคู้,ปลวกแดง,ระยอง,21140.0,038 991178,6000000,4,328.5
1255,3-106-17/56รย,บริษัท ไฮเทค พลาส จำกัด,นำตะกรันเหล็กมาผ่านกรรมวิธีการบดย่อยเพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบในอุตสาหกรรมหลอมเหล็กและอุตสาหกรรมก่อสร้าง และบดย่อยแผงวงจรอิเล็กทรอนิกส์,เลขที่ -,2,-,-,มาบข่า,นิคมพัฒนา,ระยอง,21180.0,,46000000,20,120.0
1256,3-106-18/57รย,บริษัท ไร้ท์ รีแอคติเวชั่น จำกัด (มหาชน),นำถ่านกัมมันต์ที่ใช้งานแล้วมาผ่านกระบวนการทางอุตสาหกรรม เพื่อนำกลับมาใช้ประโยชน์ใหม่ รับอะลูมินากัมมันต์ที่ใช้งานแล้ว(Spent Activated Alumina) จากโรงงานในกลุ่มอุตสาหกรรมปิโตรเคมี,เลขที่ 555,5,-,-,มะขามคู่,นิคมพัฒนา,ระยอง,21180.0,,54000000,18,1186.0
1257,3-106-19/60รย,ซัน พาวเวอร์ (Sun Power),ตากกากมันสำปะหลัง,"เลขที่ โฉนดที่ดินเลขที่ 57799, 58445,13230, น.ส.3 ก. เลขที่ 636 และ 1980",,,ห้วยโป่ง-หนองบอน,ห้วยโป่ง,เมืองระยอง,ระยอง,21000.0,08 1899 0980,15820000,5,438.0
1258,3-106-2/45รย,บริษัท ระยอง เวสท์ แมนเนจเม้นท์ แอนด์ รีไซเคิล จำกัด,นำตัวทำละลายที่ใช้งานแล้วมาผ่านกระบวนการเพื่อนำกลับมาใช้ใหม่,เลขที่ 25,3,วัดมาบข่า,ทางหลวงหมายเลข 3101,มาบข่า,นิคมพัฒนา,ระยอง,21180.0,038-952072,940000,32,76.32
1259,3-106-2/46รย,บริษัท เอเซีย รีไฟนิ่ง จำกัด,"กลั่นตัวทำละลายใช้งานแล้วนำกลับมาใช้ประโยชน์ใหม่, นำกากสีจากการกลั่นตัวทำละลาย กาวเรซิ่น มาเป็นวัตถุดิบผลิตสีเช่น สีกันสนิม สีทาแบบ สีทาไม้ เป็นต้น , นำกากที่เหลือจากการกลั่นตัวทำละลาย น้ำมันหล่อลื่น น้ำมันหล่อเย็น รวมทั้งเคมีภัณฑ์จำพวกสารไฮโดรคาร์บอน ที่ใช้งานแล้วมาผสมเป็นเชื้อเพลิงทดแทน และล้างถังปนเปื้อนด้วยตัวทำละลาย",เลขที่ 31/9,,,ราษฎร์บำรุง,ห้วยโป่ง,เมืองระยอง,ระยอง,21000.0,038-681269,4000000,8,226.0
1260,3-106-20/51รย,บริษัท เอเอสเค อินเตอร์ เอ็นจิเนียริ่ง พลาสติก จำกัด,ทำเม็ดพลาสติกเกรดบีจากเศษพลาสติกใช้แล้ว,เลขที่ 32/4,1,6,-,มะขามคู่,นิคมพัฒนา,ระยอง,21180.0,,24670000,20,1120.0
1261,3-106-21/51รย,บริษัท เค.เอ.รียูส แอนด์ รีไซคลิง จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อผลิตเป็นเชื้อเพลิงทดแทน น้ำมันทาแบบ น้ำมันกันสนิม,เลขที่ 174/18,7,-,สุขุมวิท,เพ,เมืองระยอง,ระยอง,21160.0,038 653212,12500000,10,25.0
1262,3-106-21/59รย,บริษัท ทีม เอ็นไวรอนเมนท์ แอนด์ แมนเนจเมนท์ เวสท์ จำกัด,ทำเชื้อเพลิงผสมจากวัสดุที่ไม่ใช้แล้วที่เป็นของแข็งและหรือของเหลว ซ่อมและล้างถังบรรจุภัณฑ์ปนเปื้อนด้วยตัวทำละลาย และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ โฉนดที่ดินเลขที่ 86617,4,-,-,เชิงเนิน,เมืองระยอง,ระยอง,21000.0,,14000000,12,227.0
1263,3-106-22/59รย,บริษัท ไบรท์ รีโนเวชั่น จำกัด,ผลิตปุ๋ยอินทรีย์จากกากตะกอนที่เกิดจากระบบบำบัดน้ำเสีย และผลิตอิฐบล๊อกคอนกรีต,เลขที่ 505,1,,,มาบยางพร,ปลวกแดง,ระยอง,21140.0,,24000000,11,476.0
1264,3-106-24/47รย,บริษัท รวมเศษ จำกัด,ซ่อมและล้างถังบรรจุสารเคมีด้วยตัวทำละลาย,เลขที่ 21/6,,-,ทางหลวงสาย 36,มาบข่า,นิคมพัฒนา,ระยอง,21180.0,038-968985,12000000,16,122.0
1265,3-106-25/52รย,สมบัติค้าของเก่า,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว และล้างบรรจุภัณฑ์,เลขที่ 7/3,1,-,-,สำนักท้อน,บ้านฉาง,ระยอง,21130.0,,3500000,7,17.0
1266,3-106-3/45รย,ห้างหุ้นส่วนจำกัด วริศ โลหะกิจ,ซ่อมและล้างถังเคมีด้วยตัวทำละลาย,เลขที่ 25,,,ทางหลวงหมายเลข 3191,มาบข่า,นิคมพัฒนา,ระยอง,21180.0,02-9983800,940000,5,58.0
1267,3-106-3/46รย,บริษัท ไทยแมกซ์เวล อินดัสเทรียล เซอร์วิส จำกัด,สกัดแยกผลิตภัณฑ์ปิโตรเลียมจากกากหรือตะกอนน้ำมันดิบ,เลขที่ 24/3,5,-,ทางหลวงหมายเลข 3143,หนองละลอก,บ้านค่าย,ระยอง,21120.0,038-642165-7,0,11,757.0
1268,3-106-30/59รย,บริษัท รับเบอร์ เวิลด์กรีน จำกัด,ผลิตเชื้อเพลิงแข็ง (Refuse Derived Fuel) จากสิ่งปฏิกูลที่เป็นของเสียอันตรายและไม่อันตราย และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 350/8,5,,,นิคมพัฒนา,นิคมพัฒนา,ระยอง,21180.0,,13500000,23,383.0
1269,3-106-30/60รย,ศูนย์กำจัดขยะมูลฝอยรวมแบบครบวงจร จังหวัดระยอง,นำกากตะกอนจากระบบบำบัดน้ำเสียที่ไม่เป็นอันตราย และอินทรีย์วัตถุที่ไม่ใช้แล้ว จากโรงงาน และขยะอินทรีย์มาทำเป็นผลิตภัณฑ์ใหม่ เช่น ปุ๋ยอินทรีย์ ปุ๋ยอินทรีย์เคมี,เลขที่ 94/2,3,,,น้ำคอก,เมืองระยอง,ระยอง,21000.0,,66925641,25,925.7
1270,3-106-32/59รย,บริษัท เทคโนโลยีธุรกิจพลังงานทดแทน (2009) จำกัด,ผลิตน้ำมันเชื้อเพลิงทดแทนจากยางรถยนต์โดยกระบวนการไพโรไลซิส (Pyrolysis),เลขที่ 59,3,,,มาบข่า,นิคมพัฒนา,ระยอง,21180.0,,18000000,6,616.0
1271,3-106-32/60รย,บริษัท เวสท์ โอเว่น เซอร์วิส จำกัด,นำกากตะกอนจากระบบบำบัดน้ำเสียที่ไม่เป็นอันตราย และอินทรีย์วัตถุที่ไม่ใช้แล้ว จากโรงงานมาทำเป็นผลิตภัณฑ์ใหม่ เช่น ปุ๋ยอินทรีย์,เลขที่ 26/6,2,,,มาบข่า,นิคมพัฒนา,ระยอง,21180.0,,17000000,11,382.0
1272,3-106-33/54รย,บริษัท กวิน เอส.อินดัสทรี่ จำกัด,นำตะกรันจากเตาหลอมเหล็กที่ไม่เป็นของเสียอันตรายมาผ่านกรรมวิธีบดย่อย เพื่อนำกลับมาใช้ประโยชน์และเป็นวัตถุดิบทดแทนในการก่อสร้าง,เลขที่ 159,5,-,-,พนานิคม,นิคมพัฒนา,ระยอง,21180.0,,39000000,12,495.0
1273,3-106-33/59รย,บริษัท ฉางเฉิน จำกัด,นำผ้าอ้อมสำเร็จรูปที่ไม่ได้คุณภาพหรือมาตรฐาน (Off-spec product) มาผ่านกรรมวิธีการผลิตทางอุตสาหกรรมเพื่อผลิตเป็นวัตถุดิบ ได้แก่ ผงโพลิเมอร์ ฝุ่นกระดาษ เศษพลาสติก,เลขที่ 88/8,1,,,แม่น้ำคู้,ปลวกแดง,ระยอง,57150.0,081-9511591,28000000,17,214.48
1274,3-106-33/60รย,บริษัท ห่าวเรน ไมนิ่ง จำกัด,รีไซเคิลฝุ่นจากระบบขจัดมลพิษทางอากาศจากเตาหลอมเหล็ก,เลขที่ โฉนดที่ดินเลขที่ 16514,6,,,ห้วยโป่ง,เมืองระยอง,ระยอง,20110.0,,140000000,55,6454.67
1275,3-106-34/50รย,บริษัท ไทย-จีน สรรพกิจ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย สกัดโลหะจากกากตะกอนทองแดง (Copper Slag) ทำอิฐบล็อค และอิฐตัวหนอน,เลขที่ 19/1,2, -, -,พนานิคม,นิคมพัฒนา,ระยอง,21180.0,,79650000,33,627.06
1276,3-106-35/47รย,บริษัท โพลิเมอร์เอเชีย (ประเทศไทย) จำกัด,ทำวัสดุผสมจากของเสียประเภทต่าง ๆ (BLENDING) เพื่อใช้เป็นวัตถุดิบและเชื้อเพลิงทดแทน,เลขที่ 32,3,7,สาย  13,พนานิคม,นิคมพัฒนา,ระยอง,21180.0,,39000000,37,292.2
1277,3-106-35/51รย,โรงงานแปรรูปขยะพลาสติกเป็นน้ำมันดิบ,รีไซเคิลขยะพลาสติกเป็นน้ำมันดิบด้วยกระบวนการ Depolymerization (Catalytic Pyrolysis),เลขที่ 22/13,-,-,สมุทรเจดีย์,ปากน้ำ,เมืองระยอง,ระยอง,21000.0,,55000000,16,103.82
1278,3-106-37/51รย,เฟอริค รีไซเคิล,ผลิตสารเฟอริคคลอไรด์ สำหรับใช้ในระบบบำบัดน้ำเสีย,เลขที่ 25,3,-,-,มาบข่า,นิคมพัฒนา,ระยอง,21180.0,,9600000,15,85.0
1279,3-106-38/51รย,บริษัท ยูซด์ ออยล์ เทรดดิ้งค์ จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นและตัวทำละลายใช้แล้ว,เลขที่ 99,7,-,ป่ายุบใน-เขาสิงห์โต,ป่ายุบใน,วังจันทร์,ระยอง,21210.0,047 807457,4700000,18,42.0
1280,3-106-4/46รย,ห้างหุ้นส่วนจำกัด มาบตาพุด ไทย เพรส,นำแบตเตอรี่ที่ใช้งานแล้วมารีไซเคิลเป็นแบตเตอรี่ใหม่ ล้างเศษพลาสติก และเม็ดพลาสติกปนเปื้อน,เลขที่ 24/9,,-,ทางหลวงหมายเลข 3191,มาบตาพุด,เมืองระยอง,ระยอง,21150.0,038 682480,15590000,9,58.0
1281,3-106-46/52รย,บริษัท นิคส์ อินโนเวชั่น จำกัด,สกัดโลหะมีค่าจากกากตะกอนระบบบำบัดน้ำเสียและสารละลายกรด-ด่าง ที่มีองค์ประกอบของโลหะมีค่า นำสารเร่งปฏิกิริยาที่ใช้แล้ว (Spent Catalyst) มาผ่านกระบวนการอบแห้งเพื่อส่งออก หลอมหล่อโลหะมีค่า,เลขที่ 39/16,-,-,เสริมสุวรรณ,มาบตาพุด,เมืองระยอง,ระยอง,21150.0,038-017440,9000000,10,116.0
1282,3-106-47/51รย,บริษัท ฮาร์สโก้ เมทัล (ประเทศไทย) จำกัด,บริการคัดแยกโลหะจากกากอุตสาหกรรมเหล็ก ด้วยการทุบย่อยบดคัดแยก,เลขที่ 55,5,,หมายเลข3143,หนองละลอก,บ้านค่าย,ระยอง,21120.0,038-869193-94,460000000,153,2597.0
1283,3-106-48/51รย,บริษัท เอส.พี.เคมีคอลแอนด์อีควิปเมนท์ จำกัด,นำเศษพลาสติกที่ใช้งานแล้วมาผ่านกรรมวิธีการผลิตทางอุตสาหกรรม โดยวิธีการล้าง บด ย่อย และหลอม เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นเศษพลาสติกบด เม็ดพลาสติกเกรดบี และของใช้ที่ทำจากพลาสติก,เลขที่ 19/10,3,-,ซอย 5,นิคมพัฒนา,นิคมพัฒนา,ระยอง,21180.0,,48000000,82,1248.0
1284,3-106-5/46รย,บริษัท เวิล์ด เวสท์ จำกัด,นำตัวทำละลายและน้ำมันใช้แล้วมาผ่านกรรมวิธีการผลิตทางอุตสาหกรรม เพื่อนำกลับมาใช้ประโยชน์ใหม่ และล้างถังรรจุสารเคมีด้วยตัวทำละลาย บด และผลิตเม็ดพลาสติก คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว และนำสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วมาผสมกับวัตถุดิบอื่น เพื่อผลิตเป็นอิฐบล็อคประสาน อิฐปูพื้น,เลขที่ 21/4,3,วัดมาบข่า,ทางหลวงหมายเลข 3191,มาบข่า,นิคมพัฒนา,ระยอง,21180.0,,2250000,8,249.44
